Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
29184,96,784,-672,-21936,-53345,23420,128,
29220,112,784,-656,-21936,-53345,23420,127,
29262,128,800,-592,-21836,-53445,23120,124,
29298,128,800,-624,-21836,-53445,23120,126,
29334,128,800,-656,-21836,-54045,24020,127,
29370,144,800,-672,-21836,-54045,24020,128,
29406,144,800,-640,-21836,-54045,24020,126,
29442,128,800,-672,-21336,-53445,23720,128,
29484,112,784,-672,-21336,-53445,23720,128,
29520,112,816,-640,-21536,-53945,22920,126,
29562,96,784,-656,-21536,-53945,22920,128,
29598,144,832,-640,-21536,-53945,22920,126,
29634,128,800,-624,-21636,-54045,24220,125,
29670,128,800,-640,-21636,-54045,24220,126,
29706,128,800,-608,-21636,-54045,24220,124,
29742,112,800,-640,-21636,-54045,23120,127,
29778,96,768,-688,-21636,-54045,23120,131,
29814,112,800,-656,-21636,-53445,23120,127,
29850,128,800,-592,-21636,-53445,23120,124,
29886,144,800,-656,-21636,-53445,23120,128,
29922,128,800,-640,-21736,-53245,21920,128,
29958,112,816,-640,-21736,-53245,21920,127,
29994,128,800,-656,-21736,-53245,21920,129,
30030,128,816,-624,-21536,-53745,23920,124,
30072,96,816,-576,-21536,-53745,23920,120,
30108,144,800,-704,-21536,-54145,23820,130,
30144,96,800,-624,-21536,-54145,23820,125,
30180,144,800,-672,-21536,-54145,23820,128,
30216,80,768,-608,-21636,-53745,23520,125,
30252,128,800,-720,-21636,-53745,23520,130,
30288,112,784,-672,-21636,-53745,23520,129,
30324,144,800,-704,-21436,-54145,23420,130,
30366,144,800,-624,-21436,-54145,23420,127,
30402,80,784,-624,-21736,-53845,22920,126,
30438,128,800,-656,-21736,-53845,22920,128,
30474,128,768,-528,-21736,-53845,22920,122,
30510,96,800,-656,-22036,-53445,24220,125,
30546,48,800,-608,-22036,-53445,24220,121,
30582,112,784,-560,-22036,-53845,23020,122,
30618,160,784,-656,-22036,-53845,23020,129,
30654,96,784,-704,-22036,-53845,23020,130,
30690,128,784,-784,-21936,-53945,22920,134,
30726,160,832,-656,-21936,-53945,22920,127,
30762,176,816,-592,-21936,-53945,22920,126,
30798,128,784,-656,-21736,-53745,22320,129,
30834,128,784,-624,-21736,-53745,22320,128,
30876,80,832,-624,-21736,-54345,23320,123,
30912,96,784,-688,-21736,-54345,23320,130,
30948,144,784,-656,-21736,-54345,23320,129,
31020,80,816,-640,-21436,-53945,23420,125,
31056,128,800,-688,-21436,-53945,23420,129,
31092,144,848,-496,-21436,-53845,23020,117,
31134,112,784,-640,-21436,-53845,23020,128,
31170,176,832,-624,-22336,-53745,24620,124,
31206,112,816,-624,-22336,-53745,24620,122,
31242,176,768,-640,-22336,-53745,24620,127,
31278,128,816,-896,-21836,-53945,23020,137,
31314,160,816,-624,-21836,-53945,23020,126,
31350,64,784,-592,-21836,-53945,23020,123,
31386,192,768,-736,-21936,-53945,23320,133,
31422,64,784,-800,-21936,-53945,23320,134,
31458,112,800,-656,-22036,-53945,23720,126,
31494,128,768,-816,-22036,-53945,23720,135,
31566,144,816,-544,-21636,-53945,23620,121,
31602,128,800,-608,-21636,-53945,23620,125,
31638,128,784,-624,-21636,-53945,23620,126,
31680,144,864,-512,-21636,-54245,23520,117,
31716,112,768,-720,-21636,-54245,23520,132,
31752,96,768,-688,-21836,-54145,24020,129,
31788,160,816,-576,-21836,-54145,24020,123,
31824,112,832,-528,-21836,-54145,24020,117,
31860,80,784,-640,-21336,-54145,23320,127,
31902,96,816,-672,-21336,-54145,23320,128,
31974,144,816,-608,-22136,-54345,22720,126,
32010,144,768,-672,-22136,-54345,22720,131,
32046,112,784,-672,-21536,-54245,24320,128,
32082,96,800,-576,-21536,-54245,24320,121,
32118,96,768,-656,-21536,-54245,24320,128,
32154,80,752,-720,-22036,-54345,23720,132,
32190,160,816,-464,-22036,-54345,23720,117,
32226,144,768,-704,-22036,-54345,23720,131,
32262,128,800,-592,-21836,-54045,22720,125,
32298,112,800,-624,-21836,-54045,22720,126,
32334,96,800,-624,-21836,-53945,23020,125,
32370,128,784,-672,-21836,-53945,23020,129,
32406,96,800,-656,-21836,-53945,23020,127,
32442,128,800,-688,-21436,-54545,23620,130,
32484,144,784,-704,-21436,-54545,23620,131,
32520,128,800,-752,-21536,-53945,23320,132,
