Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
32286,16,-176,-992,6978,-12287,33956,199,face up
32322,16,-208,-976,6978,-12287,33956,198,face up
32358,32,-256,-960,6978,-12287,33956,195,face up
32400,16,-288,-960,6878,-8687,35656,198,face up
32436,16,-336,-960,6878,-8687,35656,197,face up
32472,32,-352,-928,6878,-5987,34256,197,face up
32508,16,-368,-912,6878,-5987,34256,198,face up
32544,16,-400,-928,6878,-5987,34256,198,face up
32580,32,-448,-912,6778,-2187,35256,197,face up
32616,16,-464,-880,6778,-2187,35256,198,face up
32688,16,-496,-864,6378,1213,34156,199,face up
32724,16,-544,-848,6378,1213,34156,198,face up
32760,0,-576,-832,5778,4313,33956,200,face up
32796,16,-592,-832,5778,4313,33956,197,face up
32832,16,-624,-800,5778,4313,33956,196,face up
32868,16,-640,-784,5678,6713,33456,197,face up
32904,16,-640,-768,5678,6713,33456,196,face up
32940,16,-656,-752,5378,9513,32156,198,face up
32976,16,-688,-736,5378,9513,32156,197,face up
33012,0,-704,-720,5378,9513,32156,198,face up
33048,0,-720,-688,4978,11813,30856,199,face up
33084,16,-736,-672,4978,11813,30856,195,face up
33120,16,-752,-672,5178,13713,30456,198,face up
33162,16,-752,-656,5178,13713,30456,197,face up
33198,16,-768,-640,5178,13713,30456,196,
33234,16,-800,-640,4478,15413,30256,194,
33306,0,-800,-592,4778,16713,29356,199,
33342,0,-832,-592,4778,16713,29356,198,
33378,16,-832,-592,4778,16713,29356,195,
33414,0,-800,-560,4878,18213,28256,201,
33450,16,-848,-560,4878,18213,28256,196,
33486,16,-864,-544,4878,18213,28256,195,
33522,16,-848,-512,5278,19113,26856,198,
33558,16,-832,-512,5278,19113,26856,198,
33594,16,-848,-512,4578,20813,26456,197,
33630,16,-784,-512,4578,20813,26456,199,
33666,32,-752,-544,4578,20813,26456,197,
33702,32,-800,-640,4678,19913,27256,200,
33738,0,-800,-656,4678,19913,27256,208,
33774,0,-736,-704,5078,15213,29656,204,
33810,16,-688,-720,5078,15213,29656,204,
33846,32,-704,-768,5078,15213,29656,203,
33882,16,-576,-784,5778,10813,31056,207,
33924,48,-576,-800,5778,10813,31056,202,
33960,16,-560,-896,5878,5813,33156,202,
33996,16,-464,-880,5878,5813,33156,206,
34032,32,-448,-912,5878,5813,33156,206,
34068,16,-416,-960,5578,213,33756,200,
34104,0,-352,-944,5578,213,33756,205,
34140,32,-304,-928,6478,-4787,34956,198,
34176,0,-272,-1008,6478,-4787,34956,205,
34212,0,-224,-992,6478,-4787,34956,207,
34248,16,-192,-992,6578,-9487,34456,200,
34284,16,-144,-960,6578,-9487,34456,202,
34320,0,-112,-1024,6578,-9487,34456,206,face up
34356,0,-64,-1024,6278,-13287,33056,202,face up
34392,16,-32,-1008,6278,-13287,33056,201,face up
34428,0,16,-1008,6678,-16687,34056,202,face up
34464,16,16,-1008,6678,-16687,34056,200,face up
34536,0,96,-992,7278,-19487,31956,204,face up
34572,16,128,-1008,7278,-19487,31956,203,face up
34608,16,144,-992,8178,-22487,30956,203,face up
34644,16,176,-992,8178,-22487,30956,204,face up
34680,32,224,-992,8178,-22487,30956,205,face up
34722,32,240,-992,8578,-25787,29556,202,face up
34758,32,256,-960,8578,-25787,29556,203,face up
34794,32,288,-960,8978,-28587,28356,202,face up
34830,32,320,-944,8978,-28587,28356,204,face up
34866,32,352,-944,8978,-28587,28356,205,face up
34902,32,368,-944,8978,-29887,26056,203,face up
34938,16,384,-944,8978,-29887,26056,205,face up
34974,32,400,-912,8978,-29887,26056,205,face up
35010,32,448,-880,9478,-32287,25956,206,face up
35046,16,464,-912,9478,-32287,25956,208,face up
35082,48,512,-896,10478,-33887,23356,207,face up
35118,48,512,-896,10478,-33887,23356,207,face up
